scheme_code,scheme_name,Risk
101763, HDFC Flexi Cap Fund - IDCW Plan,Low to Moderate
101764, HDFC Capital Builder Value Fund - Growth Plan,Low to Moderate
101765, HDFC Capital Builder Value Fund - IDCW Plan,Low to Moderate
101766, Tata Infrastructure Fund-Regular Plan- Growth Option,Low to Moderate
101793, ICICI Prudential Floating Interest Fund Plan B - Growth,Low to Moderate
101794, ICICI Prudential Floating Interest Fund Plan B - Fortnightly Dividend,Low to Moderate
101795, ICICI Prudential Floating Interest Fund Plan A - Growth,Low to Moderate
101796, ICICI Prudential Floating Interest Fund Plan A - Fortnightly Dividend,Low to Moderate
101797, ICICI Prudential Savings Fund Plan C - Growth,Low to Moderate
101798, ICICI Prudential Floating Interest Fund Plan C - Fortnightly Dividend,Low to Moderate
101799, ICICI Prudential Floating Interest Fund Plan B - Dividend Daily,Low to Moderate
101800, ICICI Prudential Floating Interest Fund Plan A - Dividend Daily,Low to Moderate
101801, ICICI Prudential Floating Interest Fund Plan C - Dividend Daily,Low to Moderate
101802, ICICI Prudential Floating Interest Fund - Growth,Low to Moderate
101803, ICICI Prudential Floating Interest Fund - Fortnightly IDCW,Low to Moderate
101804, ICICI Prudential Floating Interest Fund - Daily IDCW,Low to Moderate
101805, JM Dynamic Debt Fund (Regular) - IDCW,Low to Moderate
101806, JM Dynamic Debt Fund (Regular) - Growth Option,Low to Moderate
101807, JM Dynamic Debt Fund (Regular)- Premium Plan IDCW,Low to Moderate
101808, JM Dynamic Debt Fund - Premium Plan - Growth Option,Low to Moderate
101815, Principal Personal Tax Saver Fund,Low to Moderate
101816, Aditya Birla Sun Life Regular Savings Fund - REGULAR - MONTHLY IDCW,Low to Moderate
101818, Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,Low to Moderate
101823, Tata Large & Mid Cap Fund Regular Plan - Payout of IDCW Option,Low to Moderate
101824, Tata Large & Mid Cap Fund- Regular Plan - Growth Option,Low to Moderate
101833, Tata Ethical Fund- Regular Plan - Payout of IDCW Option,Low to Moderate
101843, Aditya Birla Sun Life Short Term Fund - REGULAR - IDCW,Low to Moderate
101844, Aditya Birla Sun Life Short Term Fund - Growth - Regular Plan,Low to Moderate
101847, Tata Money Market Fund-Regular Plan - Growth Option,Low to Moderate
101852, TATA Infrastructure Fund Regular Plan - Payout of IDCW Option,Low to Moderate
101862, Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,Low to Moderate
101863, Nippon India Banking & Financial Services Fund-Growth Plan-Bonus Option,Low to Moderate
101864, Nippon India Banking & Financial Services Fund - IDCW Option,Low to Moderate
101872, HDFC Dynamic Debt Fund - Growth Option,Low to Moderate
101873, HDFC Dynamic Debt Fund - Quarterly IDCW Option,Low to Moderate
101874, HDFC Dynamic Debt Fund - Half Yearly IDCW Option,Low to Moderate
101875, HDFC Dynamic Debt Fund - Yearly IDCW Option,Low to Moderate
101906, Tata Equity Savings Fund -Regular Plan-Growth Option,Low to Moderate
101909, Tata Dynamic Bond Fund- Regular Plan - Growth Option,Low to Moderate
101932, SBI MAGNUM GILT FUND -  GROWTH - PF (Regular) Option,Low to Moderate
101933, SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 2 Yrs) Option,Low to Moderate
101934, SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option,Low to Moderate
101935, SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Regular),Low to Moderate
101945, Tata Gilt Retirement Plan- 28/2/25 Growth Option,Low to Moderate
101950, SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr),Low to Moderate
101951, SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs),Low to Moderate
101952, SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs),Low to Moderate
101970, Aditya Birla Sun Life Money Manager Fund - RETAIL - WEEKLY IDCW,Low to Moderate
101971, Aditya Birla Sun Life Money Manager Fund - Retail Growth,Low to Moderate
101972, Aditya Birla Sun Life Money Manager Fund - Retail - Daily IDCW,Low to Moderate
101973, Aditya Birla Sun Life Money Manager Fund - Daily IDCW,Low to Moderate
101974, Aditya Birla Sun Life Money Manager Fund - WEEKLY IDCW,Low to Moderate
101976, Aditya Birla Sun Life Money Manager Fund - Growth,Low to Moderate
101979, HDFC Taxsaver - Growth Plan,Low to Moderate
101980, HDFC Taxsaver - IDCW Plan,Low to Moderate
101986, Tata Money Market Fund- Regular Plan - Daily Reinvestment of IDCW Option,Low to Moderate
101989, HDFC Medium Term Debt Fund - Growth Option,Low to Moderate
101990, HDFC Medium Term Debt Fund - Fornightly IDCW Option,Low to Moderate
101993, HDFC Money Market Fund - Growth Option,Low to Moderate
101994, HDFC Money Market Fund - Daily IDCW Option,Low to Moderate
101995, HDFC Money Market Fund - Weekly IDCW Option,Low to Moderate
101996, HDFC Overnight Fund - Growth Option,Low to Moderate
101997, HDFC Overnight Fund - IDCW Option (Daily),Low to Moderate
102000, HDFC Top 100 Fund - Growth Option - Regular Plan,Low to Moderate
102001, HDFC Top 100 Fund - IDCW Option - Regular Plan,Low to Moderate
102007, UTI-  Liquid Cash Plan- Discontinued -Regular Plan Periodic Dividend Option,Low to Moderate
102008, UTI-  Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Option,Low to Moderate
102009, UTI-  Liquid Cash Plan- Discontinued - Regular Plan -Growth,Low to Moderate
102012, UTI-  Liquid Cash Plan - Regular Plan - Growth Option,Low to Moderate
102036, Tata Large Cap Fund- Regular Plan - Payout of IDCW Option,Low to Moderate
102046, Tata Gilt Retirement Plan (28/2/25) - Payout of IDCW Option,Low to Moderate
