scheme_code,scheme_name,Risk,nav,scheme_category,nfund_houseav,scheme_type,fund_house
142795, UTI FTIF SERIES XXVIII - PLAN XI (1161 DAYS) - Regular Plan - Annual IDCW,nan,10.01150,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142796, UTI FTIF SERIES XXVIII - PLAN XI (1161 DAYS) - Regular Plan - Quarterly IDCW,nan,10.01150,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142798, UTI FTIF SERIES XXVIII - PLAN XI (1161 DAYS) - Regular Plan - Flexi IDCW,nan,10.01150,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142807, UTI FTIF Series XXVIII-XII (1154 Days) - Regular Plan - Growth Option,nan,10.02100,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142808, UTI FTIF SERIES XXVIII - PLAN XII (1154 DAYS) - Regular Plan - Quarterly IDCW,nan,10.02100,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142811, UTI FTIF SERIES XXVIII - PLAN XII (1154 DAYS) - Direct Plan - Maturity IDCW,nan,10.02110,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142812, UTI FTIF SERIES XXVIII - PLAN XII (1154 DAYS) - Regular Plan - Maturity IDCW,nan,10.02100,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142813, UTI FTIF Series XXVIII-XII (1154 Days) - Direct Plan - Growth Option,nan,10.02110,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142814, UTI FTIF SERIES XXVIII - PLAN XII (1154 DAYS) - Regular Plan - Annual IDCW,nan,10.02100,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142815, UTI FTIF Series XXVIII-XIII (1134 Days) - Direct Plan - Growth Option,nan,10.03120,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142816, Nippon India Fixed Horizon Fund XXXVI- Series 8- Growth Option,nan,10.05510,IDF,,IL&FS Mutual Fund,Nippon India Mutual Fund
142817, NIPPON INDIA FIXED HORIZON FUND - XXXVI - SERIES 8 - IDCW Option,nan,10.05510,IDF,,IL&FS Mutual Fund,Nippon India Mutual Fund
142818, NIPPON INDIA FIXED HORIZON FUND - XXXVI - SERIES 8 - DIRECT Plan - IDCW Option,nan,10.05580,IDF,,IL&FS Mutual Fund,Nippon India Mutual Fund
142819, Nippon India Fixed Horizon Fund XXXVI- Series 8- Direct Plan-Growth Option,nan,10.05580,IDF,,IL&FS Mutual Fund,Nippon India Mutual Fund
142844, UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Direct Plan - Annual IDCW,nan,10.03120,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142845, UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Direct Plan - Quarterly IDCW,nan,10.03120,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
